Position,Const,Created,Modified,Description,Name,Known For,Birth Date
52,nm0060607,2014-09-14,2014-09-14,,Bipasha Basu,Dhoom:2,1979-01-07
53,nm0374974,2014-09-14,2014-09-14,,Helen,Don,1938-11-21
54,nm0023868,2014-09-14,2014-09-14,,Zeenat Aman,Don,1951-11-19
55,nm0044916,2014-09-14,2014-09-14,,Parveen Babi,Jaani Dost,1949-04-04
56,nm0792908,2014-09-14,2014-09-14,,Shilpa Shetty Kundra,Baazigar,1975-06-08
57,nm0474932,2014-09-14,2014-09-14,,Meena Kumari,Kaajal,1933-08-01
58,nm1069034,2014-09-14,2014-09-14,,Lara Dutta,Don 2,1978-04-16
59,nm0037019,2014-09-14,2014-09-14,,Malaika Arora,Dabangg,1973-08-23
60,nm1182255,2014-09-14,2014-09-14,,Amrita Rao,Main Hoon Na,1981-06-07
61,nm0465929,2014-09-14,2014-09-14,,Isha Koppikar,Don,1976-09-19
62,nm0004626,2014-09-14,2014-09-14,,Kareena Kapoor,Jab We Met,1980-09-21
63,nm1116258,2014-09-14,2014-09-14,,Riya Sen,Noukadubi,1981-01-24
64,nm0784025,2014-09-14,2014-09-14,,Raima Sen,Baishe Srabon,1979-11-11
65,nm0534870,2014-09-14,2014-09-14,"Her features, her smile and most of all the sweet innocence and charm on her face can make a young girl blush with shame.",Madhubala,Mughal-E-Azam,1933-02-14
66,nm0716851,2014-09-14,2014-09-14,"With striking, sharp features and a killing gaze, she remains one of the most beautiful faces ever.",Waheeda Rehman,Guide,1938-02-03
67,nm0623321,2014-09-14,2014-09-14,,Sadhana,Woh Kaun Thi?,1941-09-02
68,nm0004487,2014-09-14,2014-09-14,,Juhi Chawla,Darr,1967-11-13
69,nm0002043,2014-09-14,2014-09-14,,Madhuri Dixit,Devdas,1967-05-15
70,nm0006689,2014-09-14,2014-09-14,,Preity Zinta,Veer-Zaara,1975-01-31
71,nm2144007,2014-09-14,2014-09-14,,Kangana Ranaut,Queen,1987-03-20
72,nm0004437,2014-09-14,2014-09-14,,Sridevi,English Vinglish,1963-08-13
73,nm0004291,2014-09-14,2014-09-14,,Nargis,Mother India,1929-06-01
74,nm0004626,2014-09-14,2014-09-14,,Kareena Kapoor,Jab We Met,1980-09-21
75,nm0612614,2014-09-14,2014-09-14,,Mumtaz,Khilona,1947-07-31
76,nm0846616,2014-09-14,2014-09-14,,Sharmila Tagore,Abar Aranye,1944-12-08
77,nm0611552,2014-09-14,2014-09-14,,Rani Mukerji,Black,1978-03-21
78,nm0004418,2014-09-14,2014-09-14,,Kajol,Kuch Kuch Hota Hai,1974-08-05
79,nm0638295,2014-09-14,2014-09-14,,Nutan,Seema,1936-06-04
80,nm0661239,2014-09-14,2014-09-14,,Asha Parekh,Sajan,1942-10-02
81,nm0784047,2014-09-14,2014-09-14,,Sushmita Sen,Main Hoon Na,1975-11-19
82,nm0007102,2014-09-14,2014-09-14,,Tabu,Andhadhun,1970-11-04
